其他垃圾_PE塑料袋 PE塑料袋
其他垃圾_一次性杯子 一次性杯子
其他垃圾_厨房手套 厨房手套
其他垃圾_厨房抹布 厨房抹布
其他垃圾_口罩 口罩
其他垃圾_唱片 唱片
其他垃圾_干燥剂 干燥剂
其他垃圾_打火机 打火机
其他垃圾_搓澡巾 搓澡巾
其他垃圾_湿纸巾 湿纸巾
其他垃圾_滚筒纸 滚筒纸
其他垃圾_点燃的香烟 点燃的香烟
其他垃圾_眼镜 眼镜
厨余垃圾_地瓜 地瓜
厨余垃圾_大蒜 大蒜
厨余垃圾_梨 梨
厨余垃圾_橙子 橙子
厨余垃圾_瓜子壳 瓜子壳
厨余垃圾_番茄 番茄
厨余垃圾_白菜叶 白菜叶
厨余垃圾_苹果 苹果
厨余垃圾_菠萝 菠萝
厨余垃圾_西瓜皮 西瓜皮
厨余垃圾_辣椒 辣椒
厨余垃圾_香蕉皮 香蕉皮
可回收物_A4纸 A4纸
可回收物_一次性筷子 一次性筷子
可回收物_不锈钢管 不锈钢管
可回收物_充电头 充电头
可回收物_充电宝 充电宝
可回收物_充电牙刷 充电牙刷
可回收物_刀 刀
可回收物_剪刀 剪刀
可回收物_卡 卡
可回收物_呼啦圈 呼啦圈
可回收物_头戴式耳机 头戴式耳机
可回收物_帽子 帽子
可回收物_打气筒 打气筒
可回收物_扫地机器人 扫地机器人
可回收物_放大镜 放大镜
可回收物_易拉罐 易拉罐
可回收物_电动卷发棒 电动卷发棒
可回收物_盘子 盘子
可回收物_纸板 纸板
可回收物_订书机 订书机
可回收物_话筒 话筒
可回收物_路由器 路由器
可回收物_闹钟 闹钟
可回收物_鼠标 鼠标
有害垃圾_温度计 温度计
有害垃圾_纽扣电池 纽扣电池
